;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";" Kann Materialen, Ersatzteile, Werkzeuge sowie Betriebsmittel auswählen, lagern, disponieren und bereitstellen";;"4.1.b"
"K2";" Kann Aufbau geeigneter Apparaturen für die Synthese unter Berücksichtigung der Vorschriften zum Arbeits-, Gesundheits- und Umweltschutz planen ";;"L11"
"K3";" Kann Messaparate der angewandten Verfahren zur Analyse einstellen und optimieren";;"L9, L10"
"K4";"Kann Messgeräte kalibrieren";;"3.5.b"
"K5";"Kann Sensoren, Aktoren und Messgeräte für die Messtechnik auswählen ";;"4.4.b, 11.a"
"K6";"Kann geeignete Sensoren zur Überwachung von Produktionsprozessen und (Analyseverfahren) auswählen, kalibrieren und warten";"o Kalibrierung auf Richtigkeit prüfen";"13.d, 14.d, 15.d, L12"
"K7";"Kann Belüftungs-, Entlüftungs- und Absperreinrichtungen bedienen und pflegen ";;"3.4.a"
"K8";" Kann Einrichtungen und Arbeitsgeräte zum Einsatz vorbereiten, prüfen, reinigen und warten ";;"3.4.c"
"K9";" Kann Störungen bei  Arbeitsgeräten und Automatisierungssystemen erkennen und Maßnahmen zur Fehlerbeseitigung einleiten ";;"3.4.c, ll.23.e"
"K10";"Kann adäquate Materialen, Ersatzteile, Werkzeuge und Betriebsmittel bereitstellen und lagern ";;"4.1.b"
"K11";"Kann automatisierte Systeme einrichten, optimieren, und überprüfen  und bedienen ";;"II.23.c, ll.23.b"
"K12";" Kann elektrotechnische Arbeiten durchführen";"Kann Schaltpläne und -zeichen lesen 
Kann Bauteile und Grundschaltungen anwenden und berechnen 
Kann elektrotechnische Größen bestimmen und berechnen 
Kann elektrische Parameter berechnen und bestimmen 
Frequenzverhalten von RC- Gliedern bestimmen und berechnen 
";" II.25, L20,  II.25.a,  II.25.b, II.25.c,  II.25.d,  II.25.e"
"K13";"Kann laborbezogene Informationstechnik einsetzten";" Kann Hard- und Softwarekomponenten auswählen, testen und einsetzten 
 Kann Makroprogrammierung durchführen
 Kann Programme installieren und konfigurieren
 Kann Methoden der Systempflege anwenden 
 Kann Informationsleistungen von Datensystemen dokumentieren 
";"II.22, II.22.a, II.22.b, II.22.c, II.22.d, II.22.2
"
