;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";"Kann selbständig (fremdsprachliche) Informationen für die Planung chemischer Produktionsverfahren beschaffen und nutzen ";;"L1, 5, 6a, L12"
"K2";"Kann bei scale- up Verfahren mitarbeiten / Verfahren auf veränderte Maßstäbe übertragen und optimieren ";;"L12, 11.d"
"K3";"Kann bei der Planung von Prozessabläufen mitwirken ";;"21.a"
"K4";"Kann prozessorientierte Arbeitstechnik auswählen und einsetzen ";;"21.b.c"
"K5";"Kann adäquate Laborgeräte/ Apparate unter Beachtung der jeweiligen Vorschriften zum Arbeits-, Gesundheits- und Umweltschutz bestimmen und einsetzen ";;"L1, L2, L5, L6a, L6b, L11, 8.1.b, 9.b"
"K6";"Kann laborspezifische Werkstoffe Einsatzgebiete zuordnen und mit den Werkstoffen umgehen ";;"5.a"
"K7";" Kann Stoffe (Stoffgemische ) verfahrenstechnisch herstellen ";"Kann die Zusammensetzung von Stoffgemischen berechnen und kontrollieren ";"11.b, L1"
"K8";"Kann Bindemittel herstellen ";;"ll.34"
"K9";" Kann Farbtöne ausarbeiten ";;"ii.35.e"
"K10";" Kann  Beschichtungsstoffe nach Rezepturen herstellen und applizieren";"Kann Fehler bei Beschichtungsstoffen beseitigen ";"20.a, 20.d, L19"
"K11";"Kann anorganische und organische (aromatische ) Präparate (Verbindungen über mehrere Stufen ) nach verschiedenen Reaktionstypen herstellen)";" Kann Synthesemöglichkeiten hinsichtlich ihrer Vor- und Nachteile für die labortechnischen Realisierung bewerten 
 Kann Verbindungen mit verschiedenen Techniken herstellen
 Kann Reaktionsbedingungen optimieren 
";" L6a, 8.1, 8.1.d, 9.d, 
L6b, L11, 10.a, 10.b"
"K12";" Kann adäquate Arbeitsschritte festlegen und durchführen ";" Kann Synthesevorschriften auswählen 
Kann Reaktionsgleichungen geplanter (mehrstufiger)Synthesen aufstellen 
 Kann Ansätze und Ausbeuten berechnen 
Kann bei der Planung und Durchführung sowohl ökonomische Gesichtspunkte miteinbeziehen, als auch Regelungen zur Arbeitssicherheit, Gesundheit und Umweltschutz berücksichtigen. 
";"L1, L2, L5, L6a, L19, L6b, L11, 5.d, 8.1.a, L10, 2, 5, 5.b, 17.a, 9.a"
"K13";" Kann Reaktionsgeschwindigkeit  (Reaktionsgleichgewichts verschieben ) und chemisches Gleichgewicht beeinflussen";;"L5, 8.1.f, 8.1.e"
"K14";" Kann Arbeitsstoffe (thermisch und mechanisch) trennen und vereinigen";" Kann definierte Lösungen herstellen
 Kann Feststoffe von Flüssigkeiten trennen
 Kann Stoffe durch Dekantieren, Sedimentieren, Filtrieren , Zentrifugieren, Eindampfen , durch Destillieren  und durch Flash- oder Säulenchromatographie trennen   
 Kann Stoffe chromatografisch trennen)

";" 11.c, 6.4, 6.4.a, 6.4.b,
8.2.f, 8.2.b, L4"
"K15";"Kann Feststoffe, Flüssigkeiten und Gase trocknen ";;"8.2.c"
"K16";"Kann Stoffe thermisch und mechanisch reinigen";" Kann Stoffe durch kristallisieren und durch Umkristallisieren reinigen  
 Kann Stoffe chromatografisch reinigen  
";"8.2.d, L8, 8.2.c"
"K17";" Stoffe extrahieren ";;"8.2.e"
"K18";" Kann zur Messung von physikalischen Größen und Stoffkonsonanten Volumenmessgeräte und Waagen unterschiedlicher Messgenauigkeit einsetzten ";" Kann Volumen- und Massenverhältnisse berechnen ";"6.2.a.b.c, L1"
"K19";" Kann thermodynamische und kalorische Größen (von Reaktionen ) und (sicherheitstechnische) Kenndaten ermitteln";;"L12, 16.b, 16.c, 16.a"
"K20";" Kann Ausgangstoffe, Zwischen- und Endprodukte auf Einhaltung der Spezifikation prüfen ";;"L11, 9.e, 10.c"
"K21";"Kann Protokolle anfertigen (Arbeitsablauf dokumentieren) und erhobene Daten (Syntheseergebnisse dokumentieren) anschaulich darstellen  ";;"L1, L5, L6.a, L11, 9.e"
"K22";" Kann Arbeitsstoffe kennzeichnen ";;"5.c"
"K23";"Kann bei Verfahren zur Boden-, Luft-, oder Gewässerreinhaltung mitwirken";;"II.27.a"
"K24";"Kann biologisches Material aufarbeiten und Naturstoffe isolieren ";;"L14"
"K25";"Kann mikrobiologische Arbeiten (17/II.30)/ biotechnologische Laborverfahren durchführen ";" Kann Methoden der Desinfektion und Sterilisation anwenden 
 Kann kontaminiertes Material entsorgen 
 Kann Nährmittel herstellen
 Kann Mikroorganismen in der Umwelt nachweisen 
 Kann Impf- und Kulturtechniken anwenden 
 Kann mikroskopieren 
 Mikroorganismen isolieren, färben und differenzieren 
 Keimwachstum dokumentieren und Keimzahl bestimmen 
 Kann Fermentationsprodukte aufarbeiten 
";"17.l, II.29, ll.30, 17, 17.b, 17.c, 17.d, 17.e, 17.f, 17.g, 17.h, 17.i, L18, ll.29.d"
"K26";" Kann gentechnische und molekular-biologische Arbeiten durchführen";;"ll.31"
"K27";"Kann biotechnische und zellkulturtechnische Arbeiten durchführen ";;"L18, ll.32"
"K28";"Kann immunologische  und biochemische Arbeiten durchführen ";" Kann Nukleinsäuren oder Proteine isolieren, schneiden  und elektroforetisch trennen und nachweisen ";"ll.28, 18, 18.c, 18.d"
"K29";" Kann mit Säuren, Basen, Salzen sowie deren Lösungen, mit organischen Lösemittel und mit Gasen umgehen";;"5.f.g.h"
"K30";"Kann geeignete Maßnahmen zur Schonung der Umwelt vorschlagen ";;"L16"
